model,fpr,tpr
LR (claim amount only),0.24115210843373494,0.3226744186046512
LR (claim amount only),0.24246987951807228,0.3226744186046512
LR (claim amount only),0.24246987951807228,0.3241279069767442
LR (claim amount only),0.24341114457831325,0.3241279069767442
LR (claim amount only),0.24341114457831325,0.32558139534883723
LR (claim amount only),0.24378765060240964,0.32558139534883723
LR (claim amount only),0.24378765060240964,0.32703488372093026
LR (claim amount only),0.24849397590361447,0.32703488372093026
LR (claim amount only),0.24849397590361447,0.32848837209302323
LR (claim amount only),0.25,0.32848837209302323
LR (claim amount only),0.25,0.32994186046511625
LR (claim amount only),0.2545180722891566,0.32994186046511625
LR (claim amount only),0.2545180722891566,0.3313953488372093
LR (claim amount only),0.2601656626506024,0.3313953488372093
LR (claim amount only),0.2601656626506024,0.3328488372093023
LR (claim amount only),0.26468373493975905,0.3328488372093023
LR (claim amount only),0.26468373493975905,0.33430232558139533
LR (claim amount only),0.26713102409638556,0.33430232558139533
LR (claim amount only),0.26713102409638556,0.3372093023255814
LR (claim amount only),0.26750753012048195,0.3372093023255814
LR (claim amount only),0.26750753012048195,0.34011627906976744
LR (claim amount only),0.2707078313253012,0.34011627906976744
LR (claim amount only),0.2707078313253012,0.34156976744186046
LR (claim amount only),0.2710843373493976,0.34156976744186046
LR (claim amount only),0.2710843373493976,0.3430232558139535
LR (claim amount only),0.2744728915662651,0.3430232558139535
LR (claim amount only),0.2744728915662651,0.3444767441860465
LR (claim amount only),0.27503765060240964,0.3444767441860465
LR (claim amount only),0.27503765060240964,0.34593023255813954
LR (claim amount only),0.27692018072289154,0.34593023255813954
LR (claim amount only),0.27692018072289154,0.3488372093023256
LR (claim amount only),0.28012048192771083,0.3488372093023256
LR (claim amount only),0.28012048192771083,0.3502906976744186
LR (claim amount only),0.28313253012048195,0.3502906976744186
LR (claim amount only),0.28313253012048195,0.35319767441860467
LR (claim amount only),0.2835090361445783,0.35319767441860467
LR (claim amount only),0.2835090361445783,0.3546511627906977
LR (claim amount only),0.28557981927710846,0.3546511627906977
LR (claim amount only),0.28557981927710846,0.3561046511627907
LR (claim amount only),0.2908509036144578,0.3561046511627907
LR (claim amount only),0.2908509036144578,0.35755813953488375
LR (claim amount only),0.29254518072289154,0.35755813953488375
LR (claim amount only),0.29254518072289154,0.36046511627906974
LR (claim amount only),0.2940512048192771,0.36046511627906974
LR (claim amount only),0.2940512048192771,0.36191860465116277
LR (claim amount only),0.29518072289156627,0.36191860465116277
LR (claim amount only),0.29518072289156627,0.3633720930232558
LR (claim amount only),0.29631024096385544,0.3633720930232558
LR (claim amount only),0.29631024096385544,0.3648255813953488
LR (claim amount only),0.2989457831325301,0.3648255813953488
LR (claim amount only),0.2989457831325301,0.36627906976744184
LR (claim amount only),0.3013930722891566,0.36627906976744184
LR (claim amount only),0.3013930722891566,0.36773255813953487
LR (claim amount only),0.30308734939759036,0.36773255813953487
LR (claim amount only),0.30308734939759036,0.3691860465116279
LR (claim amount only),0.3049698795180723,0.3691860465116279
LR (claim amount only),0.3049698795180723,0.3706395348837209
LR (claim amount only),0.31118222891566266,0.3706395348837209
LR (claim amount only),0.31118222891566266,0.37209302325581395
LR (claim amount only),0.3157003012048193,0.37209302325581395
LR (claim amount only),0.3157003012048193,0.373546511627907
LR (claim amount only),0.3189006024096386,0.373546511627907
LR (claim amount only),0.3189006024096386,0.375
LR (claim amount only),0.31908885542168675,0.375
LR (claim amount only),0.31908885542168675,0.376453488372093
LR (claim amount only),0.32228915662650603,0.376453488372093
LR (claim amount only),0.32228915662650603,0.3793604651162791
LR (claim amount only),0.32379518072289154,0.3793604651162791
LR (claim amount only),0.32379518072289154,0.3808139534883721
LR (claim amount only),0.3253012048192771,0.3808139534883721
LR (claim amount only),0.3253012048192771,0.38226744186046513
LR (claim amount only),0.3258659638554217,0.38226744186046513
LR (claim amount only),0.3258659638554217,0.38372093023255816
LR (claim amount only),0.3260542168674699,0.38372093023255816
LR (claim amount only),0.3260542168674699,0.3851744186046512
LR (claim amount only),0.32680722891566266,0.3851744186046512
LR (claim amount only),0.32680722891566266,0.3866279069767442
LR (claim amount only),0.32756024096385544,0.3866279069767442
LR (claim amount only),0.32756024096385544,0.38808139534883723
LR (claim amount only),0.32868975903614456,0.38808139534883723
LR (claim amount only),0.32868975903614456,0.38953488372093026
LR (claim amount only),0.3309487951807229,0.38953488372093026
LR (claim amount only),0.3309487951807229,0.39098837209302323
LR (claim amount only),0.33151355421686746,0.39098837209302323
LR (claim amount only),0.33151355421686746,0.39244186046511625
LR (claim amount only),0.33226656626506024,0.39244186046511625
LR (claim amount only),0.33226656626506024,0.3938953488372093
LR (claim amount only),0.3332078313253012,0.3938953488372093
LR (claim amount only),0.3332078313253012,0.3953488372093023
LR (claim amount only),0.3358433734939759,0.3953488372093023
LR (claim amount only),0.3358433734939759,0.39825581395348836
LR (claim amount only),0.3411144578313253,0.39825581395348836
LR (claim amount only),0.3411144578313253,0.3997093023255814
LR (claim amount only),0.3413027108433735,0.3997093023255814
LR (claim amount only),0.3413027108433735,0.4011627906976744
LR (claim amount only),0.3433734939759036,0.4011627906976744
LR (claim amount only),0.3433734939759036,0.40261627906976744
LR (claim amount only),0.34544427710843373,0.40261627906976744
LR (claim amount only),0.34544427710843373,0.40406976744186046
LR (claim amount only),0.3469503012048193,0.40406976744186046
LR (claim amount only),0.3469503012048193,0.4069767441860465
LR (claim amount only),0.3473268072289157,0.4069767441860465
LR (claim amount only),0.3473268072289157,0.40843023255813954
LR (claim amount only),0.34807981927710846,0.40843023255813954
LR (claim amount only),0.34807981927710846,0.40988372093023256
LR (claim amount only),0.3492093373493976,0.40988372093023256
LR (claim amount only),0.3492093373493976,0.4113372093023256
LR (claim amount only),0.35071536144578314,0.4113372093023256
LR (claim amount only),0.35071536144578314,0.4127906976744186
LR (claim amount only),0.3546686746987952,0.4127906976744186
LR (claim amount only),0.3546686746987952,0.41424418604651164
LR (claim amount only),0.3569277108433735,0.41424418604651164
LR (claim amount only),0.3569277108433735,0.41569767441860467
LR (claim amount only),0.3571159638554217,0.41569767441860467
LR (claim amount only),0.3571159638554217,0.4171511627906977
LR (claim amount only),0.3586219879518072,0.4171511627906977
LR (claim amount only),0.3586219879518072,0.4186046511627907
LR (claim amount only),0.3614457831325301,0.4186046511627907
LR (claim amount only),0.3614457831325301,0.42005813953488375
LR (claim amount only),0.3620105421686747,0.42005813953488375
LR (claim amount only),0.3620105421686747,0.42151162790697677
LR (claim amount only),0.3629518072289157,0.42151162790697677
LR (claim amount only),0.3629518072289157,0.42296511627906974
LR (claim amount only),0.3646460843373494,0.42296511627906974
LR (claim amount only),0.3646460843373494,0.42441860465116277
LR (claim amount only),0.3665286144578313,0.42441860465116277
LR (claim amount only),0.3667168674698795,0.4258720930232558
LR (claim amount only),0.3676581325301205,0.4258720930232558
LR (claim amount only),0.3676581325301205,0.4273255813953488
LR (claim amount only),0.3704819277108434,0.4273255813953488
LR (claim amount only),0.37085843373493976,0.4273255813953488
LR (claim amount only),0.37161144578313254,0.4273255813953488
LR (claim amount only),0.37161144578313254,0.42877906976744184
LR (claim amount only),0.37311746987951805,0.42877906976744184
LR (claim amount only),0.37311746987951805,0.43023255813953487
LR (claim amount only),0.37349397590361444,0.43023255813953487
LR (claim amount only),0.37349397590361444,0.4316860465116279
LR (claim amount only),0.3753765060240964,0.4316860465116279
LR (claim amount only),0.3753765060240964,0.4331395348837209
LR (claim amount only),0.37556475903614456,0.4331395348837209
LR (claim amount only),0.37556475903614456,0.43459302325581395
LR (claim amount only),0.37594126506024095,0.43459302325581395
